razao	cliente	bairro	cidade	uf	pre	logradouro	numero	cep	endereco	Latitude	Longitude	Endereco Formatado
A Construtora Pouso Alegre Ltda	A Construtora Pouso Alegre Ltda	Fatima I	Pouso Alegre	MG	Rod	Br Juscel Kubsticheck	459	37550000	Rod. Br Juscel Kubsticheck, 459 - Fatima I, Pouso Alegre - Pouso Alegre, Brasil			
A D da Costa Alves ME	Medeiros Construções	Vl Alecrim	Caxias	MA	Av	Senador Alexandre Costa	2916	65604330	Av. Senador Alexandre Costa, 2916 - Vl Alecrim, Caxias - Caxias, Brasil	-4,8700078	-43,3487584	Av. Alexandre Costa, 2916 - Res. Helio Queiroz, Caxias - MA, Brazil
A E Carvalho Materiais Construção Ltda Epp	A E Carvalho Mat Constr Ltda Epp	Cid. Ant.E.Carvalho	São Paulo	SP	Pc	Ana das Dores Carvalho	1	8220230	Pc. Ana das Dores Carvalho, 1 - Cid. Ant.E.Carvalho, São Paulo - São Paulo, Brasil			
A F da Silva & Cia Ltda	A F da Silva & Cia Ltda	Jd Cisoto	Olímpia	SP	Av	Mario Vieira Marcondes	599	15400000	Av. Mario Vieira Marcondes, 599 - Jd Cisoto, Olímpia - Olímpia, Brasil	-20,7385352	-48,9035284	Av. Mario Viêira Marcondes, 599 - Jardim Cisoto, Olímpia - SP, 15400-000, Brazil
A F dos Santos & Cia Ltda ME	A F Dos Santos & Cia Ltda	Centro	Porto Rico	PR	Av	João Carraro	323	87950000	Av. João Carraro, 323 - Centro, Porto Rico - Porto Rico, Brasil	-22,7720786	-53,2675088	Av. João Carraro, 323, Porto Rico - PR, 87950-000, Brazil
A Fernandes & Merighi Ltda EPP	A Fernandes & Merighi Ltda EPP	Centro	Palmeira d´Oeste	SP	R	Brasil	56-100	15720000	R. Brasil, 56-100 - Centro, Palmeira d´Oeste - Palmeira d´Oeste, Brasil	-20,4231639	-50,7617184	R. Brasil, 56, Palmeira D'Oeste - SP, 15720-000, Brazil
A Ferragista de Arujá Ltda Epp	A Ferragista de Aruja	Arujazinho	Arujá	SP	Estr	Santa Isabel 	1501	7400000	Estr. Santa Isabel , 1501 - Arujazinho, Arujá - Arujá, Brasil	-23,4125015	-46,3208293	Estr. de Santa Isabel, 1501, Arujá - SP, 07432-575, Brazil
A Gonçalves e Cia Ltda EPP	A Goncalves e Cia Ltda Epp	Centro	Peabiru	PR	Av	Dr Didio B Bello	840	87250000	Av. Dr Didio B Bello, 840 - Centro, Peabiru - Peabiru, Brasil	-23,9144102	-52,3442182	Av. Dr. Dídio Boscardin Belo, 840, Peabiru - PR, 87250-000, Brazil
A H W Com de Materiais p/ Construção Ltda EPP	A H W Com Mat Constr	Jd. Izabel	Campo Mourão	PR	R	Nei Braga	687 A	87309130	R. Nei Braga, 687 A - Jd. Izabel, Campo Mourão - Campo Mourão, Brasil	-24,0269763	-52,363168	R. Nei Braga, 687 - Jardim Isabel, Campo Mourão - PR, 87309-130, Brazil
A Hidráulica Riopretense Comercial Ltda	A Hidr Riopretense Comercial Ltda	D. I. U. S Guimarães	São José do Rio Preto	SP	R	Jose Ponce de Azevedo	485	15092603	R. Jose Ponce de Azevedo, 485 - D. I. U. S Guimarães, São José do Rio Preto - São José do Rio Preto, Brasil	-20,826109	-49,421787	R. José Ponce de Azevedo, 485 - Distrito Industrial Dr. Ulysses da Silveira Guimaraes, São José do Rio Preto - SP, 15092-603, Brazil
A L Miranda Bazar e Tintas ME	A L Miranda Bazar Tintas	Miguel Couto	Nova Iguaçu	RJ	Pc	Miguel Couto	86	26040420	Pc. Miguel Couto, 86 - Miguel Couto, Nova Iguaçu - Nova Iguaçu, Brasil	-22,7054479	-43,4309994	Estr. Velha de Iguacu, 113 - Grama, Nova Iguaçu - RJ, 26070-473, Brazil
A M A Boiadeiro Mingnoni & Cia Ltda ME	A M A Boiadeiro Mingnoni & Cia	Centro	Pratânia	SP	R	Capitão Maneco	187	18660000	R. Capitão Maneco, 187 - Centro, Pratânia - Pratânia, Brasil	-22,8102857	-48,6671049	R. Cap. Maneco, 187, Pratânia - SP, 18660-000, Brazil
A M Comercial e Distribuidora Ltda	A M Comercial	Serraria	Maceió	AL	Av	Menino Marcelo 	5367	57046000	Av. Menino Marcelo , 5367 - Serraria, Maceió - Maceió, Brasil	-9,5742156	-35,7391665	Av. Menino Marcelo, 5367 - Antares, Maceió - AL, Brazil
A M F Materiais para Construções Eireli EPP	A M F Mat Constr Eireli EPP	Jd. Baronesa	Osasco	SP	Av	João Ventura dos Santos	1881	6263100	Av. João Ventura dos Santos, 1881 - Jd. Baronesa, Osasco - Osasco, Brasil	-23,494609	-46,796411	Av. João Ventura dos Santos, 1881 - Baronesa, Osasco - SP, 06263-100, Brazil
A M S Correa & Cia Ltda EPP	A M S Correa & Cia Ltda EPP	Centro	Vilhena	RO	R	Quintino Cunha	214	76980000	R. Quintino Cunha, 214 - Centro, Vilhena - Vilhena, Brasil	-12,7406948	-60,1410755	R. Quintino Cunha, 214 - Centro, Vilhena - RO, 76980-000, Brazil
A N Com de Tintas Automotivas e Imob Ltda ME	A N Com. Tintas Automotivas Imob.	Jd. Angela	São Paulo	SP	Estr	Do M Boi Mirim 	4675	4948030	Estr. Do M Boi Mirim , 4675 - Jd. Angela, São Paulo - São Paulo, Brasil	-23,687401	-46,7712802	Estrada do M'Boi Mirim, 4675 - Jardim Copacabana, São Paulo - SP, Brazil
A Nova Casa Moura Ltda	A Nova Casa Moura Ltda	Canaã	Sete Lagoas	MG	R	Iguaçu	60	35700316	R. Iguaçu, 60 - Canaã, Sete Lagoas - Sete Lagoas, Brasil	-19,4703892	-44,2572517	R. Iguaçu, 60 - Canaã, Sete Lagoas - MG, 35700-316, Brazil
A O Martins & Cia Ltda	A O Martins & Cia	Liberdade	Guajará-Mirim	RO	Av	Antônio Correia da Costa	5107	76850000	Av. Antônio Correia da Costa, 5107 - Liberdade, Guajará-Mirim - Guajará-Mirim, Brasil	-10,7696032	-65,3183027	Av. Antônio Corrêa da Costa, 5107 - St. 03, Guajará-Mirim - RO, 76850-000, Brazil
A P Brito ME	A P Brito ME	Marambaia	Belém	PA	Av	Rodolfo Chermont	845	66630505	Av. Rodolfo Chermont, 845 - Marambaia, Belém - Belém, Brasil	-1,4020348	-48,4536253	Av. Rodolfo Chermont, 845 - Marambaia, Belém - PA, 66615-170, Brazil
A P F S Sampaio Me	A P F S Sampaio Me	Vl. Rocha	Bauru	SP	R	Braz Di Flora	jun/60	17051320	R. Braz Di Flora, 6 -  60 - Vl. Rocha, Bauru - Bauru, Brasil	-22,3334408	-49,1022091	Rua Braz di Flora, 6-60 - Jardim Jussara, Bauru - SP, Brazil
A P Machado  de Almeida & Cia Ltda EPP	A P M de Almeida & Cia - Rede Bem Viver	Centro	Jaguariaíva	PR	R	Conde Francisco Matarazzo	656	84200000	R. Conde Francisco Matarazzo, 656 - Centro, Jaguariaíva - Jaguariaíva, Brasil	-24,2585222	-49,7194342	Av. Condé Francisco Matarazzo, 656, Jaguariaíva - PR, 84200-000, Brazil
A Pantera Construção e Acabamento Ltda	A Pantera Constr	Setor D	Alta Floresta	MT	Av	Ludovico da Riva Neto	2792	78580000	Av. Ludovico da Riva Neto, 2792 - Setor D, Alta Floresta - Alta Floresta, Brasil	-9,8928734	-56,0853578	Av. Ludovico da Riva Neto, 2792 - G, Alta Floresta - MT, 78580-000, Brazil
A Pereira de Sá - ME	A Pereira de Sá	Centro	Pastos Bons	MA	Av	Domingos Sertao	2077	65870000	Av. Domingos Sertao, 2077 - Centro, Pastos Bons - Pastos Bons, Brasil	-6,6042198	-44,0921732	Av. Domingos Sertao, 2077, Pastos Bons - MA, 65870-000, Brazil
A Pioneira Com de Material de Construção Ltda	A Pioneira Mat de Construção e Madeira	Vl.Vargas	Teixeira de Freitas	BA	Av	Presidente Getúlio Vargas	5375	45998400	Av. Presidente Getúlio Vargas, 5375 - Vl.Vargas, Teixeira de Freitas - Teixeira de Freitas, Brasil	-17,5254426	-39,7722206	Av. Pres. Getúlio Vargas, 5375 - São José, Teixeira de Freitas - BA, Brazil
A R Basaglia ME	A R Basaglia Me-Rede-PR-Constr&Cia	Centro	Ubiratã	PR	R	Nossa Sra Aparecida 	739	85440000	R. Nossa Sra Aparecida , 739 - Centro, Ubiratã - Ubiratã, Brasil	-24,5456238	-52,9892935	R. Nossa Sra. Aparecida, 739, Ubiratã - PR, 85440-000, Brazil
A R de Menezes & Cia Ltda	Ponto X	Centro	Sobral	CE	R	Cons José Júlio	579-A	62010820	R. Cons José Júlio, 579-A - Centro, Sobral - Sobral, Brasil	-3,6896443	-40,3544829	R. Conselheiro José Júlio, 579 - Centro, Sobral - CE, 62010-820, Brazil
A Torres Materiais p/ Construção Ltda	A Torres Mat	Santa Inês	Mairiporã	SP	Estr	Santa Inês	5031	7600000	Estr. Santa Inês, 5031 - Santa Inês, Mairiporã - Mairiporã, Brasil	-23,430165	-46,6566837	Estr. Santa Inês, 3000 - Mairiporã, São Paulo - SP, 07600-000, Brazil
A V dos Santos Peruzzo - EPP	Popular Material de Construção	Frei Calixto	Porto Seguro	BA	R	da Paz	98	45810000	R. da Paz, 98 - Frei Calixto, Porto Seguro - Porto Seguro, Brasil	-16,4439437	-39,0646138	Rua Frei Coimbra, 700 - Frei Calixto, Porto Seguro - BA, 45816-000, Brazil
A X R Com Materiais p/ Construção Eireli ME	A X R Com Mat	Vl.Salome	Cambé	PR	Av	Brasil	899	86192000	Av. Brasil, 899 - Vl.Salome, Cambé - Cambé, Brasil	-23,285909	-51,2790951	Av. Brasil, 899 - Vila Salome, Cambé - PR, Brazil
AAJ Silveira Farol de Buzios Ltda Me	A A J Silveira Farol De Buzios Ltda Me	Manguinhos	Armação dos Búzios	RJ	Av	José Bento Ribeiro Dantas	2323	28950000	Av. José Bento Ribeiro Dantas, 2323 - Manguinhos, Armação dos Búzios - Armação dos Búzios, Brasil	-22,7687649	-41,9042939	Av. Jose Bento Ribeiro Dantas, 2323 - Manguinhos, Búzios - RJ, 28950-000, Brazil
Aba Material de  Construção Ltda EPP	Aba Material Constr L-Rede-MG-G Minas	Centro	Lavras	MG	R	Juscelino Kubitscheck 	673	37200000	R. Juscelino Kubitscheck , 673 - Centro, Lavras - Lavras, Brasil	-21,2529561	-44,9991656	Av. Jucelino Kubitscheck, 673 - Santa Teresinha, Lavras - MG, 37200-000, Brazil
Abacherli Com Mat Constr Ltda EPP	Abacherli Com Rede-SP-Construvip	Novo Campos Elisios	Campinas	SP	R	Mogi Mirim 	530	13051080	R. Mogi Mirim , 530 - Novo Campos Elisios, Campinas - Campinas, Brasil	-22,9380003	-47,0992787	R. Mogi Mirim, 530 - Jardim Novo Campos Eliseos, Campinas - SP, 13050-543, Brazil
Abenaldo De Araujo Silva ME	Abenaldo De Araujo Silva ME	Vl.Nhocune	São Paulo	SP	R	São Vitorio	426	3562000	R. São Vitorio, 426 - Vl.Nhocune, São Paulo - São Paulo, Brasil	-23,54684	-46,4958841	R. São Vitório, 426 - Vila Nhocune, São Paulo - SP, Brazil
Abreu & Silva Distribuidor Ltda              	Armazém da Construção	Ariado	Olho d´Água das Flores	AL	R	R Padre Jose de Souza Leite	265	57442000	R. R Padre Jose de Souza Leite, 265 - Ariado, Olho d´Água das Flores - Olho d´Água das Flores, Brasil			
AC Coelho Materiais para Construção Ltda	Ac Coelho - DF - Brasilia	SIA Sul	Brasília	DF	NULL	St Sia Tr 3 L 1010 1060 1070	S/n	71200030	NULL. St Sia Tr 3 L 1010 1060 1070, S/n - SIA Sul, Brasília - Brasília, Brasil			
Ação 08 Ferragens Ltda Me	Ação 08 Ferragens Ltda ME	Rocha	Rio de Janeiro	RJ	R	Conde de Porto Alegre	144	20960110	R. Conde de Porto Alegre, 144 - Rocha, Rio de Janeiro - Rio de Janeiro, Brasil	-22,8975243	-43,2496632	Rua Conde de P?rto Alegre, 144 - Rocha, Rio de Janeiro - RJ, 20960-110, Brazil
Acat Comércio de Materiais p/ Constr Ltda EPP	Acat Com Mat Constr Ltda EPP	Centro	Pindorama	SP	R	Santa Cruz	286	15830000	R. Santa Cruz, 286 - Centro, Pindorama - Pindorama, Brasil	-21,1885952	-48,9094251	R. Santa Cruz, 286, Pindorama - SP, 15830-000, Brazil
Acefer Ferramentas e Tintas Ltda	Acefer Ferr Tintas Ltda	Vl. Franciscangelis	Americana	SP	Av	Paschoal Ardito 	634	13472130	Av. Paschoal Ardito , 634 - Vl. Franciscangelis, Americana - Americana, Brasil	-22,7301525	-47,3131906	Av. Paschoal Ardito, 634 - Vila Franciscangelis, Americana - SP, 13472-130, Brazil
Acital Isolamentos Térmicos e Acústicos Ltda	Acital Isol Term Acústicos	Itoupava Norte	Blumenau	SC	R	Primeiro de Janeiro	245	89053580	R. Primeiro de Janeiro, 245 - Itoupava Norte, Blumenau - Blumenau, Brasil	-26,8719763	-49,0870407	R. 1? de Janeiro, 245 - Itoupava Norte, Blumenau - SC, 89053-580, Brazil
Açocim JB Com Mat de Construções Ltda Me	Açocim JB Com	Jd Panorama	José Bonifácio	SP	Av	Joaquim Moreira da Silva	2995	15200000	Av. Joaquim Moreira da Silva, 2995 - Jd Panorama, José Bonifácio - José Bonifácio, Brasil	-21,0646489	-49,6782881	Av. Joaquim Moreira da Silva, 2995 - jardim panorama, José Bonifácio - SP, 15200-000, Brazil
Acre Parafusos Importação e Exportação Ltda	Acre Parafusos Imp e Exportação Ltda	José Augusto	Rio Branco	AC	R	Quintino Bocaiúva	1228	69900785	R. Quintino Bocaiúva, 1228 - José Augusto, Rio Branco - Rio Branco, Brasil	-9,964696	-67,809921	R. Quintino Bocaiuva, 1228 - José Augusto, Rio Branco - AC, 69900-785, Brazil
Acriltintas Revestimentos e Serviços Ltda ME	Acriltintas Revest Serviços	Jd. Tres Marias	São Paulo	SP	R	Capitão Claudio Coutinho	227	8331150	R. Capitão Claudio Coutinho, 227 - Jd. Tres Marias, São Paulo - São Paulo, Brasil	-23,6103541	-46,4703547	R. Cap. Cláudio Coutinho, 227 - Jardim Três Marias, São Paulo - SP, 08331-150, Brazil
AD Almeida Material para Construção Ltda ME	AD Almeida Materiais para Construção	Centro	Embu-Guaçu	SP	R	Nossa Sra de Fátima	246	6900000	R. Nossa Sra de Fátima, 246 - Centro, Embu-Guaçu - Embu-Guaçu, Brasil	-23,8345264	-46,8137177	Praça Nossa Sra. de Fatima, 246 - Jardim Boa Vista, Embu-Guaçu - SP, 06900-000, Brazil
Adairto Pereira Da Silva Me	Adairto Pereira Da Silva Me.	Cidade Fim De Semana	São Paulo	SP	R	Sagrado Coracao De Jesus 	56	5847570	R. Sagrado Coracao De Jesus , 56 - Cidade Fim De Semana, São Paulo - São Paulo, Brasil	-23,6559066	-46,7477837	05847-570 - R. Sagrado Coração de Jesus, 306-476 - Jardim Iracema, São Paulo - SP, 05847-570, Brazil
Adalberto Mendes Alvarenga Me	Adalberto M Alvarenga Me	Vl Rosario	São Paulo	SP	Av	do Oratório	6121	3117000	Av. do Oratório, 6121 - Vl Rosario, São Paulo - São Paulo, Brasil	-23,5348175	-46,68835	Av. Pompéia, 1250 - Vila Pompeia, São Paulo - SP, 05022-001, Brazil
Adauto da S Costa Comércio	Júlia Construções	Sabbak	Santa Inês	MA	R	das Laranjeiras	832	65300000	R. das Laranjeiras, 832 - Sabbak, Santa Inês - Santa Inês, Brasil	-3,6743082	-45,3896186	R. das Laranjeiras, 832 - Vila Militar, Santa Inês - MA, 65300-000, Brazil
Adelci Gonçalves Torres ME	Comercial Gonçalves	Alto da Maravilha	Juazeiro	BA	Tv	Maravilha	S/N	48905350	Tv. Maravilha, S/N - Alto da Maravilha, Juazeiro - Juazeiro, Brasil	-9,422223	-40,5060354	Travessa da Maravilha - Centro, Juazeiro - BA, Brazil
Adelia Barros de Oliveira Eireli ME	Adelia Barros de Oliveira Eireli ME	Atlântico I	Salinópolis	PA	Rod	PA 124	S/n	68721000	Rod. PA 124, S/n - Atlântico I, Salinópolis - Salinópolis, Brasil			
Ademir Bila Cassimiro Me	Ademir Bila Cassimiro Me	Centro	Salto Grande	SP	Av	Rui Barbosa	905	19920000	Av. Rui Barbosa, 905 - Centro, Salto Grande - Salto Grande, Brasil	-22,8889699	-49,9835298	R. Rui Barbosa, 905, Salto Grande - SP, 19920-000, Brazil
Ademir Calvo Materiais de Construção Me	Ademir Calvo Mat Construção	Centro	Santo Inácio	PR	Av	Luiz Antonio Agostinho	661	86650000	Av. Luiz Antonio Agostinho, 661 - Centro, Santo Inácio - Santo Inácio, Brasil	-22,6967712	-51,7924703	Av. Luís Antônio Agostinho, 661, Santo Inácio - PR, 86650-000, Brazil
Adilson Correia Farias ME	Comercial Farias	Encruzilhada	Recife	PE	Av	Norte Miguel Arraes de Alencar	2862	52041080	Av. Norte Miguel Arraes de Alencar, 2862 - Encruzilhada, Recife - Recife, Brasil	-8,0355944	-34,895024	Av. Norte Miguel Arraes de Alencar, 2862 - Encruzilhada, Recife - PE, Brazil
Adilson da Silva ME	Adilson da Silva ME	Centro	Guapé	MG	R	Jose Prado	165	37177000	R. Jose Prado, 165 - Centro, Guapé - Guapé, Brasil	-20,7633478	-45,9176658	R. José Prado, 165, Guapé - MG, 37177-000, Brazil
Adn Varejao Da Construção Ltda ME	Adn Varejao Da Construção Ltda Me	São João Climaco	São Paulo	SP	Estr	De Sao Joao Climaco 	673	4255000	Estr. De Sao Joao Climaco , 673 - São João Climaco, São Paulo - São Paulo, Brasil	-23,6236098	-46,591732	R. São João Clímaco, 673 - São João Climaco, São Paulo - SP, Brazil
Adriana Huf  Materiais de Construção ME	Adriana Huf Materiais de Construção	Centro	Corbélia	PR	R	Hortência	102	85420000	R. Hortência, 102 - Centro, Corbélia - Corbélia, Brasil	-24,8009447	-53,3020519	R. Hortência, 102, Corbélia - PR, 85420-000, Brazil
Adriana Lima Savanini ME	Adriana Lima Savanini ME	Pau Arcado	Campo Limpo Paulista	SP	Estr	Moacir Grandisoli 	980	13234600	Estr. Moacir Grandisoli , 980 - Pau Arcado, Campo Limpo Paulista - Campo Limpo Paulista, Brasil	-23,2362757	-46,7161427	Estr. Moacir Grandisoli, 980 - Pau Arcado, Campo Limpo Paulista - SP, Brazil
Adriana M Santos de Oliveira EPP	Adriana M S Oliveira-Rede-SP-Casa V Mais	Vl. Izabela	Campos do Jordão	SP	R	Julio Gonçalves Pinto	161	12460000	R. Julio Gonçalves Pinto, 161 - Vl. Izabela, Campos do Jordão - Campos do Jordão, Brasil			
Adriana Pina da Silveira e Silva Me	Adriana Pina da Silveira e Silva	Centro	Itariri	SP	R	Nossa Sra do Monte Serrat	62	11760000	R. Nossa Sra do Monte Serrat, 62 - Centro, Itariri - Itariri, Brasil	-24,290294	-47,1746872	R. Nossa Sra. do Monte Serrat, 62 - Centro, Itariri - SP, 11760-000, Brazil
Adriano Bueno da Costa Epp	Adriano Bueno da Costa	Vl. São José	Bariri	SP	Av	Amazonas	526	17250000	Av. Amazonas, 526 - Vl. São José, Bariri - Bariri, Brasil	-22,080849	-48,7513214	Av. Amazonas, 526 - Vila Sao Jose, Bariri - SP, 17250-000, Brazil
Adriano Roberto Machado ME	Adriano Roberto Machado	Centro	Tupi Paulista	SP	Av	Nove de Julho	1022	17930000	Av. Nove de Julho, 1022 - Centro, Tupi Paulista - Tupi Paulista, Brasil	-21,3858253	-51,5704178	Av. Nove de Julho, 1022 - Centro, Tupi Paulista - SP, 17930-000, Brazil
Aerotelhas Comércio Mad e Caixas D Agua Ltda	Aerotelhas Com Mad E Caixas D Agua Ltda	Vl.Santa Catarina	São Paulo	SP	R	Doutor Djalma Pinheiro Franco	197	4368000	R. Doutor Djalma Pinheiro Franco, 197 - Vl.Santa Catarina, São Paulo - São Paulo, Brasil	-23,6498252	-46,663555	R. Dr. Djalma Pinheiro Franco, 197 - Vila Santa Catarina, São Paulo - SP, Brazil
Aerotintas Comercial Ltda	Aerotintas Comercial Ltda	Bela Vista	São Paulo	SP	R	Rui Barbosa	226	1326010	R. Rui Barbosa, 226 - Bela Vista, São Paulo - São Paulo, Brasil	-23,5575435	-46,6455796	R. Rui Barbosa, 226 - Bela Vista, São Paulo - SP, 01326-010, Brazil
Aerotintas Comercial Ltda	Aerotintas Coml	Centro	São Paulo	SP	R	Brigadeiro Tobias	421	1032000	R. Brigadeiro Tobias, 421 - Centro, São Paulo - São Paulo, Brasil	-23,539281	-46,6352118	R. Brg. Tobias, 421 - Centro, São Paulo - SP, 01032-000, Brazil
Afonso & Filhos de Itajobi Ltda EPP	Afonso & Filhos de Itajobi Ltda EPP	Centro	Itajobi	SP	R	Lauro Sodre	201	15840000	R. Lauro Sodre, 201 - Centro, Itajobi - Itajobi, Brasil	-21,317087	-49,0589099	R. Lauro Sodré, 201, Itajobi - SP, 15840-000, Brazil
Agaé Comércio e Serviços Ltda	Agaé - RN - Lagoa Nova	Lagoa Nova	Natal	RN	R	Prf Sandoval Cavalcanti	1891	59037155	R. Prf Sandoval Cavalcanti, 1891 - Lagoa Nova, Natal - Natal, Brasil	-5,8514603	-35,2147846	Rua Prefeito Sandoval Cavalcante de Albuquerque, 1891 - Candelária, Natal - RN, 59064-725, Brazil
Agari Comércio de Tintas e Ferragens Ltda Me	Agari Com Tintas Ferr Ltda Me	Vl.Nova Manchester	São Paulo	SP	Pc	Aurélio Lombardi	8	3445060	Pc. Aurélio Lombardi, 08 - Vl.Nova Manchester, São Paulo - São Paulo, Brasil	-23,5522888	-46,5283039	Praça Aurélio Lombardi, 8 - Vila Carrao, São Paulo - SP, 03445-050, Brazil
AGC de Oliveira Construção ME	AGC de Oliveira Construção ME	Cidade Náutica	São Vicente	SP	Av	Dom Pedro II	1085	11350100	Av. Dom Pedro II, 1085 - Cidade Náutica, São Vicente - São Vicente, Brasil	-23,9423189	-46,4157077	Av. Pedro II, 1085 - Cidade Nautica, São Vicente - SP, Brazil
Agnaldo Tien Kuo Chang Epp	Agnaldo Tien Kuo Chang	Brooklin	São Paulo	SP	Av	Padre Antônio José Santos	1099	4563013	Av. Padre Antônio José Santos, 1099 - Brooklin, São Paulo - São Paulo, Brasil	-23,6093455	-46,6883611	Av. Padre Antônio José dos Santos, 1099 - Cidade Monções, São Paulo - SP, 04563-013, Brazil
Agostinho Braga Junior ME	Agostinho Braga Junior Me	Centro	Campinorte	GO	R	Brasil	61	76410000	R. Brasil, 61 - Centro, Campinorte - Campinorte, Brasil	-14,3152617	-49,1512155	R. Brasil, 61, Campinorte - GO, 76410-000, Brazil
Agostini Materiais de Construção Ltda ME	Agostini Mat Constr	Bela Vista	Cosmópolis	SP	R	Campinas	914	13150000	R. Campinas, 914 - Bela Vista, Cosmópolis - Cosmópolis, Brasil	-22,6473393	-47,1903899	R. Campinas, 914 - Jardim Bela Vista, Cosmópolis - SP, 13150-000, Brazil
Agricol Materiais de Construção Ltda	Agricol Mat Construção	Centro	Papanduva	SC	R	Tenente Ary Rauen 	573	89370000	R. Tenente Ary Rauen , 573 - Centro, Papanduva - Papanduva, Brasil	-26,4063169	-50,1441539	Rua Tenente Ary Rauen, 350 - Centro, Papanduva - SC, 89370-000, Brazil
Agrícola Estrela Ltda	Agrícola Estrela	Conradinho	Guarapuava	PR	R	Jorge Alves Ribeiro 	2841	85055040	R. Jorge Alves Ribeiro , 2841 - Conradinho, Guarapuava - Guarapuava, Brasil	-25,3638692	-51,4737709	R. Jorge Alves Ribeiro, 2841 - Conradinho, Guarapuava - PR, 85055-040, Brazil
Agrizzi Mat p/ Construção Comercio  Ltda EPP	Agrizzi Mat Constr Comercio Ltda EPP	Maracanã	Cariacica	ES	Av	Um 	Sn	29142353	Av. Um , Sn - Maracanã, Cariacica - Cariacica, Brasil			
Agro Boi Importação e Exportação Ltda	Agro Boi Import e Export Ltda	7 Bec	Rio Branco	AC	Av	Ceará	3795	69918108	Av. Ceará, 3795 - 7 Bec, Rio Branco - Rio Branco, Brasil	-9,9673221	-67,8327386	Av. Ceará, 3795 - Cadeia Velha, Rio Branco - AC, Brazil
Agro Boi Importação e Exportação Ltda	Agro Boi Importação e Exportação	Lagoa	Porto Velho	RO	Av	Rio Madeira	746	76812034	Av. Rio Madeira, 746 - Lagoa, Porto Velho - Porto Velho, Brasil	-8,7704138	-63,8719683	Av. Rio Madeira, 746 - Agenor M. de Carvalho, Porto Velho - RO, 76812-037, Brazil
