cnpj	raiz	tipo	abertura	razao	logra	num	compl	bairro	cep	cod_ibge	uf	cidade	dddcel	cel	dddcel2	cel2	dddcel3	cel3	dddfone	fone	dddfone2	fone2	dddfone3	fone3	dddfone4	fone4	dddfone5	fone5	dddfax	fax	dddP	foneP	dddO	foneO	TC	cnae	cnae_descricao	cnae_s	COD_NATJUR	nat_jur_desc_r	nat_jur_desc	COD_NATJU_S	CO_CEI_VIN	func	funcg	PORTE	fx_func	FX_FUNC2	fx	mei	cpf		socioP	rm	tc	NIXIE	REGIAO	divisao	grupo	classe	latitude	longitude	Status
72085740001-07	7208574	M	2005	SINESIO DA SILVA CASTRO	AV JAGUAQUARA	69	TERREO	STELA DUBOIS	45345000	2917607	BA	JAGUAQUARA																			73	35301544			FONE 	4744005	Comércio varejista de materiais de construção não especificados anteriormente		2135	2. Entidades Empresariais	EMPRESÁRIO (INDIVIDUAL)			1	1	P (Pequena)- ate 99 funcionários	1 - até 9	1 E 2 FUNCIONARIOS 	F - até R$500 mil						F			47	47.4	47.44-0	-13,53	-39,97	novo
46201700001-20	4620170	M	2001	JBS GESSOS LTDA  ME	R ELGIN	126		JARDIM VENEZA	8715450	3530607	SP	MOGI DAS CRUZES								47966310									11	47966310	11	47267982			FONE 	4744005	Comércio varejista de materiais de construção não especificados anteriormente		2062	2. Entidades Empresariais	SOCIEDADE EMPRESÁRIA LIMITADA			1	1	P (Pequena)- ate 99 funcionários	1 - até 9	1 E 2 FUNCIONARIOS 	F - até R$500 mil		108611588-06		JOSENILTON DE MORAES CAMPOS                                           		F			47	47.4	47.44-0			antigo
78470590001-69	7847059	M	2006	TW COMERCIAL DE GESSO LIMITADA	ESTRADA DE ITAPECERICA	6500	LOJA	JARDIM VISTA LINDA	5858002	3550308	SP	SAO PAULO							11	58218597									11	58218597	11	38542720			FONE 	4744005	Comércio varejista de materiais de construção não especificados anteriormente		2062	2. Entidades Empresariais	SOCIEDADE EMPRESÁRIA LIMITADA			1	1	P (Pequena)- ate 99 funcionários	1 - até 9	1 E 2 FUNCIONARIOS 	F - até R$500 mil						F		OESTE	47	47.4	47.44-0	-23,54	-46,63	antigo
135723440001-17	13572344	M	2011	JOSE LAERCIO DE OLIVEIRA CALHAS ME	R VER GUMERCINDO FERNANDES PEREIRA	489		JARDIM INDAIA II	13510000	3546702	SP	SANTA GERTRUDES							19	35453735															FONE 	4744005	Comércio varejista de materiais de construção não especificados anteriormente		2135	2. Entidades Empresariais	EMPRESÁRIO (INDIVIDUAL)			1	1	P (Pequena)- ate 99 funcionários	1 - até 9	1 E 2 FUNCIONARIOS 	F - até R$500 mil						F			47	47.4	47.44-0	-22,45	-47,53	antigo
46376620001-28	4637662	M	2001	IDAEDNY CARDOSO ALVES	PRACA 27 DE JULHO	9	CASA	CENTRO	45720000	2910909	BA	FIRMINO ALVES							73	32632260															FONE 	4744005	Comércio varejista de materiais de construção não especificados anteriormente		2135	2. Entidades Empresariais	EMPRESÁRIO (INDIVIDUAL)			1	1	P (Pequena)- ate 99 funcionários	1 - até 9	1 E 2 FUNCIONARIOS 	F - até R$500 mil						F			47	47.4	47.44-0	-14,98	-39,92	antigo
72620510001-30	7262051	M	2005	C.T.SANTOS - ARTE PISOS	R JOSE VEIGA	235	CASA	SAO BRAZ	82315150	4106902	PR	CURITIBA							41	35216866															FONE 	4744005	Comércio varejista de materiais de construção não especificados anteriormente		2135	2. Entidades Empresariais	EMPRESÁRIO (INDIVIDUAL)	2062		1	1	P (Pequena)- ate 99 funcionários	1 - até 9	1 E 2 FUNCIONARIOS 	F - até R$500 mil						F			47	47.4	47.44-0	-25,42	-49,27	antigo
122573580001-83	12257358	M	1987	M PAULO DA SILVA ME	R PRAIA DO MORRO BRANCO	1		MORRO BRANCO	62840000	2302206	CE	BEBERIBE																							NA	4744005	Comércio varejista de materiais de construção não especificados anteriormente		2135	2. Entidades Empresariais	EMPRESÁRIO (INDIVIDUAL)			1	1	P (Pequena)- ate 99 funcionários	1 - até 9	1 E 2 FUNCIONARIOS 	F - até R$500 mil						NÃO INFORMADO	S		47	47.4	47.44-0	-4,18	-38,13	novo
45184240001-01	4518424	M	2001	JOSE SOUSA SILVA DE JEQUIE	AV FRANZ GEDEON	558		CENTRO	45200130	2918001	BA	JEQUIE							73	35264235											73	35253543			FONE 	4744005	Comércio varejista de materiais de construção não especificados anteriormente		2135	2. Entidades Empresariais	EMPRESÁRIO (INDIVIDUAL)			1	1	P (Pequena)- ate 99 funcionários	1 - até 9	1 E 2 FUNCIONARIOS 	F - até R$500 mil						F			47	47.4	47.44-0	-13,85	-40,08	antigo
39125700001-46	3912570	M	2000	DINAMES CONSTRUCOES LTDA ME	R JOSE JAIME COUTINHO DIAS	900		NOVO	55819380	2604007	PE	CARPINA							81	36211245															FONE 	4744005	Comércio varejista de materiais de construção não especificados anteriormente		2062	2. Entidades Empresariais	SOCIEDADE EMPRESÁRIA LIMITADA			1	1	P (Pequena)- ate 99 funcionários	1 - até 9	1 E 2 FUNCIONARIOS 	F - até R$500 mil						F			47	47.4	47.44-0	-7,85	-35,25	antigo
43529450001-23	4352945	M	2001	R. MORETTO LENCOIS PAULISTA ME	FRANCISCO PRESTES MAIA	838		JARDIM UBIRAMA	18683530	3526803	SP	LENCOIS PAULISTA							14	32631910											14	32645334			FONE 	4744005	Comércio varejista de materiais de construção não especificados anteriormente		2135	2. Entidades Empresariais	EMPRESÁRIO (INDIVIDUAL)			1	1	P (Pequena)- ate 99 funcionários	1 - até 9	1 E 2 FUNCIONARIOS 	F - até R$500 mil						F			47	47.4	47.44-0	-22,59	-48,8	antigo
47105260001-16	4710526	M	2001	AL TODESCHINI E CIA LTDA	JUCA BATISTA	7578		CHAPEU DO SOL	91781001	4314902	RS	PORTO ALEGRE							51	32456298											51	33475127			FONE 	4744005	Comércio varejista de materiais de construção não especificados anteriormente		2062	2. Entidades Empresariais	SOCIEDADE EMPRESÁRIA LIMITADA			1	1	P (Pequena)- ate 99 funcionários	1 - até 9	1 E 2 FUNCIONARIOS 	F - até R$500 mil						F			47	47.4	47.44-0	-30,03	-51,23	antigo
